,County,Total Owner-Occupied Units,Mort=Y,Mort=N,Mort/Income <10%,Mort/Income 10-14.9%,Mort/Income 15-19.9%,Mort/Income 20-24.9%,Mort/Income 25-29.9%,Mort/Income 30-34.9%,Mort/Income 35-39.9%,Mort/Income 40-49.9%,Mort/Income >=50%,GEO_ID
205,"Kane County, Illinois",138895,91062,7328,15158,18755,15661,10803,6013,3470,5123,8661,90,0500000US17089
206,"Kankakee County, Illinois",28442,15811,1386,3582,3806,2189,1479,1071,411,391,1455,41,0500000US17091
207,"Kendall County, Illinois",36743,28132,1427,3941,5219,5957,4144,2536,1177,1118,2246,367,0500000US17093
208,"Lake County, Illinois",192177,120990,9978,20938,25812,19154,13482,9177,5078,5534,11110,727,0500000US17097
209,"LaSalle County, Illinois",33768,18625,2254,4066,5112,1969,1067,1051,66,1128,1814,98,0500000US17099
210,"McHenry County, Illinois",98837,68763,5544,12036,14871,12304,6848,4662,3243,2884,6110,261,0500000US17111
211,"McLean County, Illinois",44323,28278,2373,6562,6737,4260,2708,1930,1084,599,1706,319,0500000US17113
212,"Macon County, Illinois",31902,18126,1539,4546,4293,2977,962,1111,403,1015,1216,64,0500000US17115
213,"Madison County, Illinois",78343,46055,5280,9492,11998,5687,4737,1322,2263,1443,3679,154,0500000US17119
214,"Peoria County, Illinois",52691,31644,2956,6440,8901,4652,1832,2034,1069,1057,2352,351,0500000US17143
215,"Rock Island County, Illinois",43573,26335,2852,5608,5078,3909,1769,1759,721,1308,3183,148,0500000US17161
216,"St. Clair County, Illinois",70592,45828,3754,9957,10044,5841,4668,2543,1690,2822,4509,0,0500000US17163
217,"Sangamon County, Illinois",60765,35235,3280,7141,8245,4579,3658,1300,1301,1226,3709,796,0500000US17167
218,"Tazewell County, Illinois",43777,26203,2677,5547,6280,3245,2003,1342,1837,519,2712,41,0500000US17179
219,"Vermilion County, Illinois",20210,8880,1414,1889,2278,883,441,245,584,217,836,93,0500000US17183
220,"Will County, Illinois",202257,134628,7558,24027,26892,21358,16184,11036,5483,7981,13644,465,0500000US17197
221,"Williamson County, Illinois",20426,12236,1575,3066,2383,2015,911,349,487,651,724,75,0500000US17199
222,"Winnebago County, Illinois",77337,48854,4307,11758,10301,6773,4238,2567,1229,2539,5024,118,0500000US17201
223,"Allen County, Indiana",108411,70385,9761,16836,14744,10266,7189,3174,2000,1688,4292,435,0500000US18003
224,"Bartholomew County, Indiana",24409,14780,2240,3268,3383,2315,631,717,397,423,1406,0,0500000US18005
225,"Boone County, Indiana",23525,16101,2828,3714,4151,1321,962,922,397,171,1481,154,0500000US18011
226,"Clark County, Indiana",39378,26386,3880,5849,4573,4662,2006,1748,1130,916,1622,0,0500000US18019
227,"Delaware County, Indiana",31433,17698,2459,5062,3812,1430,1408,880,498,617,1357,175,0500000US18035
228,"Elkhart County, Indiana",50909,32106,5489,7078,5883,3984,3102,1067,1455,1340,2361,347,0500000US18039
229,"Floyd County, Indiana",24559,17360,2411,3846,4171,2797,1403,532,577,513,1008,102,0500000US18043
230,"Grant County, Indiana",20511,12368,1452,2130,2803,2190,510,749,532,554,1439,9,0500000US18053
231,"Hamilton County, Indiana",101881,74929,11099,20510,15627,10275,4660,3072,2258,3141,4232,55,0500000US18057
232,"Hancock County, Indiana",27363,19438,2700,4153,4402,2402,1011,1947,718,857,1171,77,0500000US18059
233,"Hendricks County, Indiana",51999,38071,4705,9400,9944,4495,3105,1121,1442,1331,2528,0,0500000US18063
234,"Howard County, Indiana",26564,16279,1353,4098,3323,2567,1430,895,560,761,1234,58,0500000US18067
235,"Johnson County, Indiana",47343,33004,4313,7057,8375,3577,2041,1705,1794,962,3089,91,0500000US18081
236,"Kosciusko County, Indiana",25243,16261,2091,4703,4435,1734,1168,662,564,362,542,0,0500000US18085
237,"Lake County, Indiana",137655,81822,8568,17268,16726,10515,9315,5099,3865,2647,7496,323,0500000US18089
238,"LaPorte County, Indiana",31219,18543,3115,3433,3866,2651,1223,1333,274,682,1905,61,0500000US18091
239,"Madison County, Indiana",38610,23435,3912,5273,4315,3265,2105,1427,848,878,1369,43,0500000US18095
240,"Marion County, Indiana",232665,159930,18550,38161,33388,18674,13775,8142,5715,7217,15657,651,0500000US18097
241,"Monroe County, Indiana",31574,20939,3171,5110,3728,3040,1607,936,912,1060,1375,0,0500000US18105
242,"Morgan County, Indiana",22165,13482,1622,3548,2809,1678,1844,240,157,460,1124,0,0500000US18109
243,"Porter County, Indiana",54822,37372,4847,7989,8237,4098,3878,2036,1193,1590,2923,581,0500000US18127
244,"St. Joseph County, Indiana",70312,43294,6392,10922,9008,6088,2760,2848,880,1733,2512,151,0500000US18141
245,"Tippecanoe County, Indiana",41028,26236,2409,7599,6367,2676,2607,1578,746,785,1452,17,0500000US18157
246,"Vanderburgh County, Indiana",51420,30564,2580,6584,7251,4846,2433,1758,966,1477,2452,217,0500000US18163
247,"Vigo County, Indiana",25448,16004,2077,3701,3882,2295,640,937,367,1283,822,0,0500000US18167
248,"Warrick County, Indiana",20510,11578,1589,2529,3262,1304,312,1046,397,312,827,0,0500000US18173
249,"Wayne County, Indiana",19332,11807,1330,2925,2451,1657,518,668,308,866,1077,7,0500000US18177
250,"Black Hawk County, Iowa",35649,21792,2047,4909,4708,4209,1523,1515,618,1030,1036,197,0500000US19013
251,"Dallas County, Iowa",30472,21112,2877,4294,5295,3063,1730,1035,1077,363,1253,125,0500000US19049
252,"Dubuque County, Iowa",29421,16610,1323,3935,3377,2353,1919,1153,283,1085,1115,67,0500000US19061
253,"Johnson County, Iowa",38648,23697,1314,5261,5816,5001,1922,1305,534,880,1422,242,0500000US19103
254,"Linn County, Iowa",70778,44017,3066,10208,10297,6845,4676,3176,1247,1554,2752,196,0500000US19113
255,"Polk County, Iowa",142623,100965,8174,23088,23253,14932,9587,5444,3538,4183,8392,374,0500000US19153
256,"Pottawattamie County, Iowa",26284,15985,1532,4130,3500,2721,1065,994,402,396,1222,23,0500000US19155
257,"Scott County, Iowa",50133,32680,3321,6991,6912,6148,3355,1861,688,1571,1595,238,0500000US19163
258,"Story County, Iowa",21472,12124,1567,2039,2861,2069,1434,672,340,275,867,0,0500000US19169
259,"Woodbury County, Iowa",27362,16292,1767,3469,3402,1772,1437,683,806,772,2163,21,0500000US19193
260,"Butler County, Kansas",20078,12526,897,2081,3567,2175,1191,1199,218,547,651,0,0500000US20015
261,"Douglas County, Kansas",26281,16921,1537,2146,4051,4111,1957,877,744,797,701,0,0500000US20045
262,"Johnson County, Kansas",168937,118614,10618,26644,25170,18526,11118,6942,4193,4936,10286,181,0500000US20091
263,"Leavenworth County, Kansas",23298,13891,250,2102,3851,1975,1316,1112,566,505,2214,0,0500000US20103
264,"Riley County, Kansas",11892,7123,570,1746,1636,970,551,862,228,279,281,0,0500000US20161
265,"Sedgwick County, Kansas",132653,80220,6201,18173,19511,12385,7245,3848,2571,2866,7137,283,0500000US20173
266,"Shawnee County, Kansas",49836,28194,2768,5034,6751,4899,2659,2134,444,1018,2271,216,0500000US20177
267,"Wyandotte County, Kansas",37563,20901,770,3630,3814,3873,2372,1436,1690,1545,1588,183,0500000US20209
268,"Boone County, Kentucky",40511,28633,3705,8294,5923,3606,1846,1299,782,1386,1760,32,0500000US21015
269,"Bullitt County, Kentucky",27106,17229,1189,3926,3449,3238,2389,1107,495,417,1019,0,0500000US21029
270,"Campbell County, Kentucky",28503,17691,2833,3886,3096,2981,1034,1127,706,971,984,73,0500000US21037
271,"Christian County, Kentucky",14145,8986,963,2432,1267,1538,599,566,350,322,855,94,0500000US21047
272,"Daviess County, Kentucky",28658,16770,1819,3440,3330,3035,1167,1146,1045,60,1728,0,0500000US21059
273,"Fayette County, Kentucky",76049,51101,5574,10778,11750,7174,4632,3171,1838,2532,3487,165,0500000US21067
274,"Hardin County, Kentucky",28740,17975,1770,3402,4672,2298,1294,742,950,1114,1640,93,0500000US21093
275,"Jefferson County, Kentucky",212995,133692,14483,26322,30199,17293,9942,7964,5632,7015,13694,1148,0500000US21111
276,"Kenton County, Kentucky",48320,32522,4228,8403,7164,4026,2877,1216,1099,965,2284,260,0500000US21117
277,"McCracken County, Kentucky",19506,11521,2014,3031,2714,1014,742,231,682,516,396,181,0500000US21145
278,"Madison County, Kentucky",22100,14296,1660,3614,2836,1324,1090,743,741,788,1500,0,0500000US21151
279,"Oldham County, Kentucky",19748,13643,982,3194,3462,2217,1146,917,231,414,1002,78,0500000US21185
280,"Pulaski County, Kentucky",18496,9728,1199,1697,1275,1776,1105,940,354,360,1002,20,0500000US21199
281,"Warren County, Kentucky",29974,19669,2043,4825,5321,2640,1829,847,480,443,1241,0,0500000US21227
282,"Ascension Parish, Louisiana",39915,25271,1727,6584,4818,4360,2269,1353,1431,1343,1386,0,0500000US22005
283,"Bossier Parish, Louisiana",33977,23187,2081,4527,5101,3508,1914,1800,1356,965,1878,57,0500000US22015
284,"Caddo Parish, Louisiana",55258,30520,3137,5663,6025,3182,3165,1559,1515,1546,4435,293,0500000US22017
285,"Calcasieu Parish, Louisiana",54314,26627,3528,5386,5001,4805,1531,1653,599,1029,3095,0,0500000US22019
286,"East Baton Rouge Parish, Louisiana",106614,66352,4759,11699,13431,9449,6209,4680,2414,4450,8556,705,0500000US22033
287,"Iberia Parish, Louisiana",18379,7692,704,1827,1496,749,486,440,262,738,990,0,0500000US22045
288,"Jefferson Parish, Louisiana",112290,58945,6474,10405,11128,7184,4960,3985,2978,3371,7943,517,0500000US22051
289,"Lafayette Parish, Louisiana",66181,38588,4568,6407,9358,5588,3608,2023,1076,1694,4107,159,0500000US22055
290,"Lafourche Parish, Louisiana",31361,14152,2598,1886,2575,2087,830,896,446,785,1870,179,0500000US22057
291,"Livingston Parish, Louisiana",45327,24104,2503,5166,5357,4123,1602,1757,520,959,1918,199,0500000US22063
292,"Orleans Parish, Louisiana",83061,47475,3251,6852,7794,6919,4149,3213,2930,3108,9005,254,0500000US22071
293,"Ouachita Parish, Louisiana",36478,17715,1829,4138,2573,2527,1954,654,812,1079,2149,0,0500000US22073
294,"Rapides Parish, Louisiana",33080,17399,1692,3203,3631,2403,2021,847,790,255,2433,124,0500000US22079
295,"St. Landry Parish, Louisiana",23228,8573,1287,1654,1536,817,412,581,386,738,943,219,0500000US22097
296,"St. Tammany Parish, Louisiana",82984,51954,4799,9447,8976,6813,6111,4118,1714,3770,6067,139,0500000US22103
297,"Tangipahoa Parish, Louisiana",37534,18188,2313,2709,4357,1943,1448,923,1551,948,1838,158,0500000US22105
298,"Terrebonne Parish, Louisiana",31840,14872,2257,1992,3993,1419,1697,554,367,690,1903,0,0500000US22109
299,"Androscoggin County, Maine",31805,20655,1072,4447,3982,2633,2602,1245,331,1028,3315,0,0500000US23001
300,"Aroostook County, Maine",22855,10297,931,2465,2078,1271,949,557,460,300,1274,12,0500000US23003
301,"Cumberland County, Maine",92457,59749,5548,10401,10924,7825,6526,4447,2994,3577,7317,190,0500000US23005
302,"Kennebec County, Maine",40228,22778,2213,4699,4314,3221,2953,1166,724,1169,2058,261,0500000US23011
303,"Penobscot County, Maine",44902,24937,3183,5208,4444,3981,2190,930,853,882,3183,83,0500000US23019
304,"York County, Maine",71840,46957,3017,6407,9899,8076,3858,4104,2468,3092,5958,78,0500000US23031
305,"Allegany County, Maryland",18030,8597,797,2777,1331,1154,407,324,538,322,947,0,0500000US24001
306,"Anne Arundel County, Maryland",170076,126544,14500,23929,25842,18128,11392,7886,5539,7028,11629,671,0500000US24003
307,"Baltimore County, Maryland",228756,156261,17246,30273,29864,24763,15936,8599,5287,5858,17177,1258,0500000US24005
308,"Calvert County, Maryland",30347,23697,2121,4074,4346,5008,2126,1198,913,1603,2308,0,0500000US24009
309,"Carroll County, Maryland",54011,39836,3761,7444,9036,6652,3589,3375,1282,1136,3032,529,0500000US24013
310,"Cecil County, Maryland",31181,20924,2134,3404,4355,2399,1977,1552,662,1526,2719,196,0500000US24015
311,"Charles County, Maryland",50798,41323,3924,6571,7742,6972,3663,3361,1544,2126,5225,195,0500000US24017
312,"Frederick County, Maryland",79332,62252,5753,11768,14688,11029,6348,3028,1790,2608,5201,39,0500000US24021
313,"Harford County, Maryland",80893,56083,5557,11975,13119,6814,5498,3161,2326,2308,5238,87,0500000US24025
314,"Howard County, Maryland",85697,62637,5284,12578,15119,9678,5258,3122,2558,2538,6352,150,0500000US24027
315,"Montgomery County, Maryland",257587,181440,19159,36187,37104,24597,16501,9833,9792,7828,19699,740,0500000US24031
316,"Prince George's County, Maryland",215810,168995,11689,29667,31705,24378,19277,12359,7890,9628,21483,919,0500000US24033
317,"St. Mary's County, Maryland",32325,22985,1955,6241,5326,3671,2574,942,572,355,1254,95,0500000US24037
318,"Washington County, Maryland",37824,23071,2180,5443,5033,2881,1654,1512,1247,1377,1744,0,0500000US24043
319,"Wicomico County, Maryland",25131,16311,2317,3548,2418,3124,1515,748,555,756,1210,120,0500000US24045
320,"Baltimore city, Maryland",121217,77968,7828,13548,13517,8628,7500,4585,4454,4101,12500,1307,0500000US24510
321,"Barnstable County, Massachusetts",88065,48582,3404,7570,7452,6521,5368,3284,2492,3035,9352,104,0500000US25001
322,"Berkshire County, Massachusetts",40855,24695,1906,4064,4883,4239,2235,1574,963,1006,3753,72,0500000US25003
323,"Bristol County, Massachusetts",144202,93808,6504,16619,17930,15043,10944,5707,4296,5203,11401,161,0500000US25005
324,"Essex County, Massachusetts",201088,140540,9774,22568,24812,21723,13243,11097,6988,9460,19680,1195,0500000US25009
325,"Franklin County, Massachusetts",22735,13480,976,1780,2596,2544,1238,1035,429,1006,1721,155,0500000US25011
326,"Hampden County, Massachusetts",112973,72470,4692,9600,13633,10884,8281,5986,4231,5112,9703,348,0500000US25013
327,"Hampshire County, Massachusetts",41755,24896,1681,3318,4736,5387,2908,1353,1163,1927,2410,13,0500000US25015
328,"Middlesex County, Massachusetts",392209,253590,21939,45891,47887,42633,27124,14255,10305,13606,29380,570,0500000US25017
329,"Norfolk County, Massachusetts",194662,129031,10580,20692,26516,19262,14043,8171,5694,7343,16282,448,0500000US25021
330,"Plymouth County, Massachusetts",157615,105665,7734,15130,21096,15375,11918,7373,6093,5609,14999,338,0500000US25023
331,"Suffolk County, Massachusetts",119119,81348,8464,13133,14210,10369,8194,4810,3316,4147,13682,1023,0500000US25025
332,"Worcester County, Massachusetts",215023,145188,9175,24257,30997,23723,16961,9163,5971,8626,16142,173,0500000US25027
333,"Allegan County, Michigan",39546,22276,2265,4841,5587,3561,1735,1108,792,1020,1367,0,0500000US26005
334,"Bay County, Michigan",33362,17811,2211,3988,3333,2330,1199,1322,1101,938,968,421,0500000US26017
335,"Berrien County, Michigan",47928,27296,2560,5505,5547,3559,2565,2112,936,1146,3096,270,0500000US26021
336,"Calhoun County, Michigan",40747,23645,2674,5341,3473,3460,2159,1710,1245,1480,1967,136,0500000US26025
337,"Clinton County, Michigan",25439,14883,1060,2967,4012,2486,1069,662,765,461,1401,0,0500000US26037
338,"Eaton County, Michigan",34720,21506,2408,4676,5123,3009,1713,1489,917,375,1676,120,0500000US26045
339,"Genesee County, Michigan",117702,67588,6403,13899,13415,9396,5629,3956,3569,2963,7793,565,0500000US26049
340,"Grand Traverse County, Michigan",30402,18431,2077,4119,3715,2450,1062,1070,704,834,1741,659,0500000US26055
341,"Ingham County, Michigan",71104,45288,3815,9443,8680,7132,4823,2900,2043,1762,4527,163,0500000US26065
342,"Ionia County, Michigan",18451,10833,648,2037,3480,1734,815,452,303,644,657,63,0500000US26067
343,"Jackson County, Michigan",46513,26135,2496,6558,5062,3437,2832,1702,1170,991,1887,0,0500000US26075
344,"Kalamazoo County, Michigan",68954,42840,4770,9883,8659,6334,3362,2676,2031,992,3917,216,0500000US26077
345,"Kent County, Michigan",176357,110846,12340,26880,23639,15171,10906,5364,3999,3892,8464,191,0500000US26081
346,"Lapeer County, Michigan",30352,18722,1750,4570,4061,2155,2363,1103,853,503,1364,0,0500000US26087
347,"Lenawee County, Michigan",30129,18027,1885,4140,3270,2575,1042,1225,666,929,2268,27,0500000US26091
348,"Livingston County, Michigan",67581,44950,5106,10568,9827,6239,3489,1817,1504,2516,3740,144,0500000US26093
349,"Macomb County, Michigan",269167,166157,17557,34302,34386,24107,16393,10469,6882,6140,15089,832,0500000US26099
350,"Marquette County, Michigan",19538,10394,1011,2938,1999,1561,1145,434,57,230,980,39,0500000US26103
351,"Midland County, Michigan",28068,16186,2367,4181,3647,1819,1622,848,402,504,705,91,0500000US26111
352,"Monroe County, Michigan",49904,29689,2656,7533,6316,4023,3455,1350,826,1394,2079,57,0500000US26115
353,"Montcalm County, Michigan",20636,11078,1207,2431,1831,1499,1410,425,377,618,1280,0,0500000US26117
354,"Muskegon County, Michigan",52818,29356,1942,6294,6698,4366,2413,1717,1232,1547,3029,118,0500000US26121
355,"Oakland County, Michigan",384692,247441,28035,55608,52473,33547,21338,12104,8388,10323,25125,500,0500000US26125
356,"Ottawa County, Michigan",85097,52305,5887,10896,13683,7702,4102,2430,2152,2149,3254,50,0500000US26139
357,"Saginaw County, Michigan",59819,31221,2858,6555,7748,3902,3119,2290,595,1181,2732,241,0500000US26145
358,"St. Clair County, Michigan",55231,32772,3079,6033,6502,4585,3100,1656,1565,1863,4180,209,0500000US26147
359,"Shiawassee County, Michigan",22847,13050,847,3483,3371,1209,1638,670,563,292,968,9,0500000US26155
360,"Van Buren County, Michigan",24999,14111,1605,2961,3002,1989,1151,606,257,851,1601,88,0500000US26159
361,"Washtenaw County, Michigan",92413,58569,3986,11052,11796,9615,6709,3860,1840,3907,5665,139,0500000US26161
362,"Wayne County, Michigan",452651,236968,20507,48499,46682,32718,21647,15321,8251,11721,30159,1463,0500000US26163
363,"Anoka County, Minnesota",110287,75870,6419,13529,19200,11804,8431,4965,2717,2948,5709,148,0500000US27003
364,"Blue Earth County, Minnesota",16826,10644,868,1893,2025,2408,798,643,588,356,977,88,0500000US27013
365,"Carver County, Minnesota",33501,24650,2299,5048,5717,4011,2351,1126,910,970,1699,519,0500000US27019
366,"Clay County, Minnesota",18403,11515,1407,2082,2394,1742,1356,821,330,734,649,0,0500000US27027
367,"Crow Wing County, Minnesota",23110,14321,1481,2404,2843,2040,1454,789,776,1133,1365,36,0500000US27035
368,"Dakota County, Minnesota",129508,89907,6325,19110,21833,12845,9704,6520,3015,3280,6841,434,0500000US27037
369,"Hennepin County, Minnesota",337265,232663,23447,47359,50750,36063,21358,12523,8778,8227,23137,1021,0500000US27053
370,"Olmsted County, Minnesota",47924,28357,3646,5990,6356,3993,2608,1696,1499,1086,1450,33,0500000US27109
371,"Ramsey County, Minnesota",136244,90963,6250,15906,17531,15733,9856,6486,4286,5020,9585,310,0500000US27123
372,"Rice County, Minnesota",17277,11236,805,2117,2191,1966,1089,788,446,575,1067,192,0500000US27131
373,"St. Louis County, Minnesota",61576,33698,2802,6972,7774,4680,2907,1837,1274,2408,2840,204,0500000US27137
374,"Scott County, Minnesota",45897,33125,3144,6746,7576,4190,4015,2625,1013,1346,2105,365,0500000US27139
375,"Sherburne County, Minnesota",30103,22754,1175,4637,5328,3872,1973,1480,1233,1171,1885,0,0500000US27141
376,"Stearns County, Minnesota",42044,25777,2140,4730,5600,4397,2502,1283,1466,1004,2527,128,0500000US27145
377,"Washington County, Minnesota",86306,59770,4154,12880,12439,11341,5085,2905,2896,2965,5091,14,0500000US27163
378,"Wright County, Minnesota",46068,32987,2085,6243,6882,6602,4116,2145,945,1639,2248,82,0500000US27171
379,"DeSoto County, Mississippi",55952,37428,2970,8976,7971,3774,4511,1441,1005,1593,5187,0,0500000US28033
380,"Forrest County, Mississippi",17656,10101,398,2212,1754,2001,1734,500,800,325,377,0,0500000US28035
381,"Harrison County, Mississippi",52057,29595,3009,5534,5248,5015,3068,1844,1110,1570,2983,214,0500000US28047
382,"Hinds County, Mississippi",52158,29679,2663,5839,5253,3985,3455,1946,1312,1623,3364,239,0500000US28049
383,"Jackson County, Mississippi",40555,21851,2309,4681,4133,2356,1507,1274,986,1513,2811,281,0500000US28059
384,"Jones County, Mississippi",19401,8476,1456,1502,2101,1212,998,228,234,67,678,0,0500000US28067
385,"Lamar County, Mississippi",16893,9405,758,1476,2363,1169,491,897,293,600,1358,0,0500000US28073
386,"Lauderdale County, Mississippi",19783,10011,1400,1526,2477,1499,486,328,235,780,1280,0,0500000US28075
387,"Lee County, Mississippi",21726,13324,2097,2510,3019,1912,1225,260,249,885,1067,100,0500000US28081
388,"Madison County, Mississippi",31178,20702,2985,3922,3521,2649,1873,1290,803,1683,1976,0,0500000US28089
389,"Rankin County, Mississippi",44402,26065,3439,5802,5204,3465,2227,1900,548,1816,1274,390,0500000US28121
390,"Boone County, Missouri",45471,27730,3312,6662,5743,4809,1860,1313,1268,1091,1414,258,0500000US29019
391,"Buchanan County, Missouri",22466,12507,993,3583,3245,1174,900,507,392,356,1357,0,0500000US29021
392,"Cape Girardeau County, Missouri",21123,12423,1113,3861,3009,1690,738,633,330,319,632,98,0500000US29031
393,"Cass County, Missouri",31391,19505,2091,3424,5043,2981,1748,1800,350,741,1287,40,0500000US29037
394,"Christian County, Missouri",27203,17094,1064,3560,3810,3856,907,1196,448,705,1529,19,0500000US29043
395,"Clay County, Missouri",69848,46287,3489,10657,9926,8130,4342,2641,2176,1193,3515,218,0500000US29047
396,"Cole County, Missouri",19582,11204,1397,3034,3041,1526,799,418,169,246,518,56,0500000US29051
397,"Franklin County, Missouri",32158,19279,2108,4873,4769,2685,1169,830,434,764,1534,113,0500000US29071
398,"Greene County, Missouri",74192,45686,3451,10684,9470,5629,5339,2865,1795,1771,4425,257,0500000US29077
399,"Jackson County, Missouri",182149,114961,10024,22603,21345,18861,11568,8742,5720,5599,9977,522,0500000US29095
400,"Jasper County, Missouri",31397,19134,1506,4797,3976,3102,2112,743,646,924,1142,186,0500000US29097
401,"Jefferson County, Missouri",73936,49207,4820,10041,13646,6671,4095,2936,1113,2082,3759,44,0500000US29099
402,"Platte County, Missouri",27041,18002,1951,3735,3955,2676,1803,938,495,978,1389,82,0500000US29165
403,"St. Charles County, Missouri",128003,90940,10542,20981,20714,13936,8511,4795,2692,2745,5997,27,0500000US29183
404,"St. Francois County, Missouri",16524,9139,1335,1804,1942,963,731,323,443,324,1219,55,0500000US29187
405,"St. Louis County, Missouri",282549,179422,22908,41194,36504,24617,15780,9184,4887,6620,16670,1058,0500000US29189
406,"St. Louis city, Missouri",69313,44232,5599,9275,8537,5704,5374,2001,1151,2081,4305,205,0500000US29510
407,"Cascade County, Montana",24482,14788,965,2526,2838,2390,1894,994,898,801,1440,42,0500000US30013
408,"Flathead County, Montana",32598,19071,1179,3384,3677,3470,1890,1215,841,607,2742,66,0500000US30029
409,"Gallatin County, Montana",33057,20347,1763,2521,4539,2289,1943,2061,1234,1396,2601,0,0500000US30031
410,"Lewis and Clark County, Montana",20628,12394,1020,2436,1500,2150,1498,1110,752,913,1015,0,0500000US30049
411,"Missoula County, Montana",31801,19982,1638,3557,4169,3365,2079,1230,1156,932,1856,0,0500000US30063
412,"Yellowstone County, Montana",49769,27260,2530,4538,4578,5871,3840,1590,798,1395,2019,101,0500000US30111
413,"Douglas County, Nebraska",145287,96833,8254,18464,25038,12830,10922,5545,3382,4138,7784,476,0500000US31055
414,"Lancaster County, Nebraska",78029,50716,4924,8828,11675,7507,4997,3850,2520,1381,4775,259,0500000US31109
415,"Sarpy County, Nebraska",52954,38870,3593,9474,9480,6215,2751,1712,1561,1449,2635,0,0500000US31153
