,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
198,"St. Clair County, Illinois",270419,270259,268858,266955,265729,264052,262759,262479,261059,259686,257400,254796,252671
199,"Sangamon County, Illinois",197822,198844,199271,199145,198997,198712,197499,196452,195348,194672,196343,194734,194534
200,"Tazewell County, Illinois",135433,135661,135949,136352,135707,134800,134385,133526,132328,131803,131343,130413,129911
201,"Vermilion County, Illinois",81551,81509,80727,80329,79728,79282,78111,77909,76806,75758,74188,73095,72337
202,"Will County, Illinois",678697,681545,682518,682829,685419,687263,689529,692661,692310,690743,696355,697252,696757
203,"Williamson County, Illinois",66369,66622,66674,66924,67008,67466,67560,67328,67056,66597,67153,66879,66695
204,"Winnebago County, Illinois",295127,293993,292069,290666,288542,287078,285873,284778,284081,282572,285350,283119,282188
205,"Allen County, Indiana",355856,358327,360412,363014,365918,368450,370404,372877,375351,379299,385410,388608,391449
206,"Bartholomew County, Indiana",76855,77870,79129,79587,80217,81162,81402,82040,82753,83779,82208,82475,83540
207,"Clark County, Indiana",110610,111570,111951,112938,114262,115371,116031,116973,117360,118302,121093,122738,124237
208,"Delaware County, Indiana",117669,117660,117364,117484,117074,116852,115603,115184,114772,114135,111903,111871,112031
209,"Elkhart County, Indiana",197646,198941,199619,200563,201971,203474,203781,205032,205560,206341,207047,206921,206890
210,"Floyd County, Indiana",74679,74989,75283,76244,76179,76778,76990,77071,77781,78522,80484,80454,80714
211,"Grant County, Indiana",69975,69793,69330,69126,68569,67979,66937,66491,65936,65769,66674,66263,66022
212,"Hamilton County, Indiana",276390,282810,289495,296693,302623,309697,316373,323747,330086,338011,347467,356650,364921
213,"Hancock County, Indiana",70250,70529,70933,71575,71978,72520,73717,74985,76351,78168,79840,81789,83070
214,"Hendricks County, Indiana",145867,147979,150434,153879,156056,158192,160610,163685,167009,170311,174788,179355,182534
215,"Howard County, Indiana",82770,82800,82849,82760,82982,82556,82568,82363,82366,82544,83658,83687,83574
216,"Johnson County, Indiana",140009,141656,143191,145535,147538,149633,151982,153897,156225,158167,161765,164298,165782
217,"Kosciusko County, Indiana",77368,77336,77609,77963,78564,78620,79092,79206,79344,79456,80240,80106,80826
218,"Lake County, Indiana",495981,495558,493618,491456,490228,487865,485846,485640,484411,485493,498700,498558,499689
219,"LaPorte County, Indiana",111465,111374,111246,111281,111444,110884,110015,110029,110007,109888,112417,112390,111675
220,"Madison County, Indiana",131642,131235,130348,130482,130069,129723,129296,129498,129641,129569,130129,130782,131744
221,"Marion County, Indiana",904878,911296,918977,928281,934243,939020,941229,950082,954670,964582,977203,971102,969466
222,"Monroe County, Indiana",138422,139799,141019,141888,143339,144705,145496,146986,146917,148431,139718,139875,139745
223,"Morgan County, Indiana",69061,69464,69356,69782,69693,69648,69698,69713,70116,70489,71780,72206,72236
224,"Porter County, Indiana",164592,165537,165682,166557,167076,167688,167791,168404,169594,170389,173215,174243,174791
225,"St. Joseph County, Indiana",266961,266700,266344,266709,267618,268441,269141,270434,270771,271826,272912,272212,272234
226,"Tippecanoe County, Indiana",172963,174724,177513,180174,183074,185826,188059,190587,193048,195732,186251,187076,188717
227,"Vanderburgh County, Indiana",179833,180305,180858,181398,182006,181877,181721,181616,180974,181451,180136,179987,179744
228,"Vigo County, Indiana",107958,108182,108428,108291,108175,107896,107931,107516,107386,107038,106153,105994,106006
229,"Wayne County, Indiana",68853,68643,68346,67893,67671,67001,66568,66185,65936,65884,66553,66456,66273
230,"Black Hawk County, Iowa",131221,131549,131820,132546,132897,133455,132904,132648,132408,131228,131144,130368,130274
231,"Dallas County, Iowa",66616,69444,71967,74641,77400,80133,84516,87235,90180,93453,99678,103796,108016
232,"Dubuque County, Iowa",93880,94648,95097,95697,96370,97125,97003,97041,96854,97311,99266,98718,98677
233,"Johnson County, Iowa",131225,133038,136317,139155,142287,144251,146547,149210,151260,151140,152854,154748,156420
234,"Linn County, Iowa",211501,213875,215295,216111,217751,219916,221661,224115,225909,226706,230299,228939,229033
235,"Polk County, Iowa",432260,437399,443710,451677,459862,467711,474045,481830,487204,490161,492401,496844,501089
236,"Pottawattamie County, Iowa",93359,93518,92913,92728,93128,93671,93582,93386,93533,93206,93667,93304,93173
237,"Scott County, Iowa",165841,167095,168799,170385,171387,172126,172474,172509,173283,172943,174669,174170,173924
238,"Story County, Iowa",89575,89663,91140,92406,94073,96021,97090,97502,98105,97117,98537,99472,99673
239,"Woodbury County, Iowa",102407,102509,102323,102130,102271,102782,102779,102429,102539,103107,105941,105607,105671
240,"Butler County, Kansas",65923,65817,65827,65803,66227,66741,67025,66878,66765,66911,67380,67889,68240
241,"Douglas County, Kansas",111130,112211,112864,114322,116585,118053,119440,120793,121436,122259,118785,119363,119964
242,"Johnson County, Kansas",545876,552991,559913,566933,574272,580159,584451,591178,597555,602401,609863,613219,619195
243,"Leavenworth County, Kansas",73749,75527,77739,78185,78797,79315,80204,81095,81352,81758,81881,82184,82892
244,"Riley County, Kansas",71481,72997,75508,75394,75194,75247,73343,74172,73703,74232,71959,72208,71108
245,"Sedgwick County, Kansas",499393,501076,503889,505415,508803,511574,511995,513687,513607,516042,523824,523828,525525
246,"Shawnee County, Kansas",178301,178941,178991,178831,178406,178725,178146,178187,177499,176875,178909,178264,177480
247,"Wyandotte County, Kansas",157845,158224,159129,160384,161636,163369,163831,165288,165324,165429,169245,167046,165746
248,"Boone County, Kentucky",119290,121737,123316,124442,126413,127712,128536,130728,131533,133581,135968,137412,139093
249,"Bullitt County, Kentucky",74473,75109,75896,76854,77955,78702,79151,80246,81069,81676,82217,82918,83836
250,"Campbell County, Kentucky",90532,90940,90908,90988,91833,92066,92211,92488,93152,93584,93076,93050,93300
251,"Christian County, Kentucky",74179,73591,75427,74167,74250,73309,72351,70416,71671,70461,72748,72357,73037
252,"Daviess County, Kentucky",96762,97234,97847,98218,98275,99259,99674,100374,101104,101511,103312,103063,103222
253,"Fayette County, Kentucky",296765,301569,305489,308428,310797,314488,318449,321959,323780,323152,322570,321793,320347
254,"Hardin County, Kentucky",106933,107456,107025,108191,108266,106439,107316,108071,110356,110958,110702,111607,111862
255,"Jefferson County, Kentucky",742172,746906,750828,756832,760026,763623,765352,771158,770517,766757,782969,777874,773399
256,"Kenton County, Kentucky",159876,160406,161711,163145,163929,165012,164945,165399,166051,166998,169064,169495,170313
257,"McCracken County, Kentucky",65539,65864,65549,65373,65316,65018,65162,65385,65346,65418,67875,67454,67490
258,"Madison County, Kentucky",83157,84188,84786,85590,87340,87824,89547,91226,92368,92987,92701,94666,95187
259,"Warren County, Kentucky",114172,115517,117110,118370,120460,122851,125532,128845,131264,132896,134554,137212,139843
260,"Ascension Parish, Louisiana",107891,109985,112286,114393,117029,119455,121587,122948,124672,126604,126500,128369,130458
261,"Bossier Parish, Louisiana",117522,119732,122197,123823,125064,125175,126057,127634,127185,127039,128746,129144,129276
262,"Caddo Parish, Louisiana",255543,257051,257093,254887,252603,251460,248851,246581,242922,240204,237848,233092,229025
263,"Calcasieu Parish, Louisiana",193230,194092,194493,195296,197204,198788,200601,202445,203112,203436,216785,205282,202418
264,"East Baton Rouge Parish, Louisiana",440909,441438,444526,445227,446042,446753,447037,446268,440956,440059,456781,453301,450544
265,"Iberia Parish, Louisiana",73236,73400,73999,73878,73913,74103,73273,72176,70941,69830,69929,68975,68327
266,"Jefferson Parish, Louisiana",432449,432640,433676,434767,435716,436275,436523,439036,434051,432493,440781,433688,425884
267,"Lafayette Parish, Louisiana",222051,224390,227055,230845,235644,240098,241398,242485,242782,244390,241753,244205,247866
268,"Lafourche Parish, Louisiana",96328,96666,97029,97141,98020,98325,98305,98426,98115,97614,97557,97504,95870
269,"Livingston Parish, Louisiana",128549,130251,131942,134053,135751,137788,140138,138228,139567,140789,142282,145830,148425
270,"Orleans Parish, Louisiana",347858,360740,369250,378715,384320,389617,391495,393292,391006,390144,383997,376971,369749
271,"Ouachita Parish, Louisiana",153910,154919,155363,156220,156325,156761,156983,155874,154475,153279,160368,158768,157702
272,"Rapides Parish, Louisiana",131779,132374,132373,132723,132488,132141,132424,131648,130562,129648,130023,128654,127189
273,"St. Landry Parish, Louisiana",83454,83552,83662,83454,83709,83848,83883,83497,82764,82124,82540,82071,81773
274,"St. Tammany Parish, Louisiana",234568,236785,239453,242333,245829,250088,253602,256327,258111,260419,264570,269388,273263
275,"Tangipahoa Parish, Louisiana",121425,122571,123441,125412,127049,128755,130710,132497,133777,134758,133157,135217,137048
276,"Terrebonne Parish, Louisiana",111861,111917,111893,112749,113328,113972,113220,112086,111021,110461,109580,108708,104786
277,"Androscoggin County, Maine",107623,107398,107609,107604,107440,107233,107319,107651,107679,108277,111139,111034,113023
278,"Aroostook County, Maine",71720,71482,70868,70055,69447,68628,67959,67653,67111,67055,67105,66859,67255
279,"Cumberland County, Maine",281457,282401,283921,285456,287797,289977,292041,292500,293557,295003,303069,305231,307451
280,"Kennebec County, Maine",122143,121935,121853,121164,121112,119980,120569,121821,122083,122302,123642,124486,125540
281,"Penobscot County, Maine",153849,153786,153746,153364,153414,152692,151806,151957,151096,152148,152199,152765,153704
282,"York County, Maine",197216,198199,199005,199431,200710,201169,202343,204191,206229,207641,211972,214591,216732
283,"Allegany County, Maryland",75021,74692,74012,73521,72952,72528,72130,71615,70975,70416,68106,67729,67267
284,"Anne Arundel County, Maryland",539198,544403,550488,555743,560133,564195,568346,573235,576031,579234,588261,590336,593286
285,"Baltimore County, Maryland",805709,809941,817455,823015,826925,831128,831026,832468,828431,827370,854535,849316,846161
286,"Calvert County, Maryland",88936,89256,89628,90484,90613,90595,91251,91502,92003,92525,92783,93928,94573
287,"Carroll County, Maryland",167241,167288,167217,167564,167830,167627,167656,167781,168429,168447,172891,173873,175305
288,"Cecil County, Maryland",101199,101694,101696,101913,102383,102382,102603,102746,102826,102855,103725,103905,104942
289,"Charles County, Maryland",147086,149130,150592,152864,154747,156118,157705,159700,161503,163257,166617,168698,170102
290,"Frederick County, Maryland",234122,236745,239582,241409,243675,245322,247591,252022,255648,259547,271717,279835,287079
291,"Harford County, Maryland",245177,246489,248622,249215,250105,250290,251032,252160,253956,255441,260924,262977,263867
292,"Howard County, Maryland",288376,293142,299430,304580,309284,313414,317233,321113,323196,325690,332317,334529,335411
293,"Montgomery County, Maryland",976203,989794,1004709,1016677,1030447,1040116,1043863,1058810,1052567,1050688,1062061,1054827,1052521
294,"Prince George's County, Maryland",865271,871233,881138,890081,904430,909535,908049,912756,909308,909327,967201,955306,946971
295,"St. Mary's County, Maryland",105786,107484,108987,109633,110382,111413,112587,112667,112664,113510,113777,114468,114877
296,"Washington County, Maryland",147558,148203,149180,149588,149573,149585,150292,150578,150926,151049,154705,154937,155590
297,"Wicomico County, Maryland",98843,99190,100647,100896,101539,102370,102577,102923,103195,103609,103588,103980,104664
298,"Baltimore city, Maryland",620583,619493,621342,622104,622793,621849,614664,611648,602495,593490,585708,576498,569931
299,"Barnstable County, Massachusetts",215937,215769,215423,214990,214914,214333,214276,213444,213413,212990,228996,232411,232457
300,"Berkshire County, Massachusetts",131144,130458,130016,129585,128715,127828,126903,126313,126348,124944,129026,128657,127859
301,"Bristol County, Massachusetts",548612,548922,551082,552780,554194,556772,558324,561483,564022,565217,579200,580164,580068
302,"Essex County, Massachusetts",744644,748930,755618,762550,769091,776043,779018,785205,790638,789034,809829,807074,806765
303,"Franklin County, Massachusetts",71369,71599,71540,71221,70862,70601,70382,70702,70963,70180,71029,71015,70894
304,"Hampden County, Massachusetts",463678,463783,465923,467319,468161,470690,468467,469818,470406,466372,465825,462718,461041
305,"Hampshire County, Massachusetts",158094,157822,159795,159596,160939,161292,161816,161834,161355,160830,162308,161572,162588
306,"Middlesex County, Massachusetts",1506008,1518171,1537215,1552802,1570315,1585139,1589774,1602947,1614714,1611699,1632002,1614742,1617105
307,"Norfolk County, Massachusetts",672376,675436,681845,687802,692254,696023,697181,700322,705388,706775,725981,724505,725531
308,"Plymouth County, Massachusetts",495780,497579,499759,501915,507022,510393,513565,515142,518132,521202,530819,533003,533069
309,"Suffolk County, Massachusetts",723323,730932,744426,755503,767254,778121,784230,797939,807252,803907,797936,771245,766381
310,"Worcester County, Massachusetts",799553,801227,806163,809106,813475,818963,819589,826116,830839,830622,862111,862029,862927
311,"Allegan County, Michigan",111503,111234,112039,112531,113847,114625,115548,116447,117327,118081,120502,120950,121210
312,"Bay County, Michigan",107703,107110,106935,106832,106179,105659,104747,104239,103923,103126,103856,102985,102821
313,"Berrien County, Michigan",156805,156941,156067,155252,155233,154636,154010,154259,154141,153401,154316,153101,152900
314,"Calhoun County, Michigan",136072,135490,135099,135012,134878,134314,134386,134128,134487,134159,134310,133819,133289
315,"Clinton County, Michigan",75426,75469,76001,76739,77297,77390,77888,78443,79332,79595,79128,79426,79748
316,"Eaton County, Michigan",107838,108056,108008,108348,108579,108801,109160,109027,109826,110268,109175,108944,108992
317,"Genesee County, Michigan",424926,422080,418408,415376,412895,410849,408615,407385,406892,405813,406211,404208,401983
318,"Grand Traverse County, Michigan",87043,88349,89112,89987,90782,91636,92084,91807,92573,93088,95238,95860,96464
319,"Ingham County, Michigan",280812,281613,281723,282234,284582,286085,288051,290186,292735,292406,284900,284034,284108
320,"Jackson County, Michigan",160201,159748,160309,160369,159741,159494,158460,158640,158823,158510,160366,160050,160066
321,"Kalamazoo County, Michigan",250738,252074,254580,256725,258818,260263,261654,262985,264870,265066,261670,261108,261173
322,"Kent County, Michigan",603219,608453,614462,621700,629237,636369,642173,648594,653786,656955,657974,658046,659083
323,"Lapeer County, Michigan",88210,88082,88173,88389,88153,88373,88340,88174,88028,87607,88619,88513,88780
324,"Lenawee County, Michigan",99763,99440,98987,99188,99047,98573,98504,98623,98266,98451,99423,98956,98567
325,"Livingston County, Michigan",180972,181722,182838,184443,185596,187316,188624,189651,191224,191995,193866,195014,196161
326,"Macomb County, Michigan",841126,842145,847383,854769,860112,864840,867730,871375,874759,873972,881217,876792,874195
327,"Marquette County, Michigan",67131,67694,67906,67700,67676,67215,66435,66502,66516,66699,66017,66103,66661
328,"Midland County, Michigan",83592,84063,83822,83919,83427,83632,83462,83411,83209,83156,83494,83457,83674
329,"Monroe County, Michigan",151932,151560,151048,150376,149824,149568,149208,149649,150439,150500,154809,155274,155609
330,"Muskegon County, Michigan",172068,171302,170182,171008,172344,172790,173408,173693,173588,173566,175824,176511,176565
331,"Oakland County, Michigan",1203012,1210145,1220657,1231640,1237868,1242304,1243970,1250836,1259201,1257584,1274395,1270017,1269431
332,"Ottawa County, Michigan",264055,266300,269099,272701,276292,279955,282250,286383,290494,291830,296200,299157,300873
333,"Saginaw County, Michigan",199911,199088,198353,196542,195012,193307,192326,191934,190800,190539,190124,189591,188330
334,"St. Clair County, Michigan",162789,161642,160644,160469,160078,159875,159587,159350,159337,159128,160383,160053,160151
335,"Shiawassee County, Michigan",70606,69841,69232,68900,68933,68619,68554,68446,68192,68122,68094,67877,68022
336,"Van Buren County, Michigan",76186,76131,75454,75455,75199,75077,75223,75353,75448,75677,75587,75658,75692
337,"Washtenaw County, Michigan",345290,347962,350946,354240,356874,358880,364709,367627,370963,367601,372258,369390,366376
338,"Wayne County, Michigan",1815734,1802096,1792365,1775273,1764804,1759335,1749366,1753616,1753893,1749343,1793561,1774816,1757043
339,"Anoka County, Minnesota",331302,333140,336414,339534,341864,344151,345957,351373,353813,356921,363887,367018,368864
340,"Carver County, Minnesota",91361,92638,93707,95562,97338,98741,100262,102119,103551,105089,106922,108626,110034
341,"Dakota County, Minnesota",399100,402006,405088,408509,412529,414686,417486,421751,425423,429021,439882,442038,443341
342,"Hennepin County, Minnesota",1154623,1168431,1184576,1198778,1212064,1223149,1232483,1252024,1259428,1265843,1281565,1267416,1260121
343,"Olmsted County, Minnesota",144509,145769,147066,149226,150287,151436,153102,154930,156277,158293,162847,163436,164020
344,"Ramsey County, Minnesota",509320,514696,520152,526714,532655,538133,540649,547974,550210,550321,552352,543257,536413
345,"St. Louis County, Minnesota",200155,200255,200319,200540,200949,200431,199980,200000,199754,199070,200231,199182,199532
346,"Scott County, Minnesota",130487,132556,135152,137232,139672,141660,143680,145827,147381,149013,150928,153268,154520
347,"Sherburne County, Minnesota",88691,89319,89455,90158,91126,91705,93528,94570,96036,97238,97183,99074,100824
348,"Stearns County, Minnesota",150785,151343,151606,152092,152912,154708,155652,157822,159256,161075,158292,158947,160405
349,"Washington County, Minnesota",238844,241280,244088,246603,249283,251597,253117,256348,259201,262440,267568,272256,275912
350,"Wright County, Minnesota",125118,126437,127336,128470,129918,131311,132550,134286,136349,138377,141337,144845,148003
351,"DeSoto County, Mississippi",161746,164053,166234,168240,170913,173323,175611,178751,182001,184945,185314,188633,191723
352,"Forrest County, Mississippi",75113,75842,76894,77059,76330,75944,75979,75471,75036,74897,78158,77875,78110
353,"Harrison County, Mississippi",187785,191040,194029,196500,199058,201410,203234,205027,206650,208080,208621,209396,211044
354,"Hinds County, Mississippi",245629,248184,248643,244899,243729,242891,241229,239497,237085,231840,227742,222679,217730
355,"Jackson County, Mississippi",139698,139901,140298,140450,141137,141425,141241,142152,143277,143617,143252,143987,144975
356,"Jones County, Mississippi",67870,68075,68641,68961,68290,68215,67953,67930,68461,68098,67246,66744,66569
357,"Lauderdale County, Mississippi",80229,80475,80220,80254,79739,78524,77755,76155,75317,74125,72984,72088,70904
358,"Lee County, Mississippi",83048,84156,85042,85340,85246,85300,85381,84933,85202,85436,83343,82883,82959
359,"Madison County, Mississippi",95552,96941,98468,100412,101688,103465,105114,104618,105630,106272,109145,109813,111113
360,"Rankin County, Mississippi",142018,143702,145165,146767,148070,149039,150228,152080,153902,155271,157031,158096,158979
361,"Boone County, Missouri",163232,165627,168535,170773,172717,174974,176594,178271,180005,180463,183610,185840,187690
362,"Buchanan County, Missouri",89144,89666,89706,89631,89486,89100,88938,89065,88571,87364,84793,83853,82911
363,"Cape Girardeau County, Missouri",75895,76632,76950,77320,78043,78572,78913,78161,78753,78871,81710,82113,82899
364,"Cass County, Missouri",99723,100052,100376,100641,100889,101603,102845,103724,104954,105780,107824,109638,110394
365,"Christian County, Missouri",77825,78570,79824,80899,82101,83279,84401,85432,86983,88595,88842,91499,93114
366,"Clay County, Missouri",222718,225161,227577,230473,233682,235637,239085,242874,246365,249948,253335,255518,257033
367,"Cole County, Missouri",76182,76448,76363,76699,76557,76720,76631,76708,76796,76745,77279,77205,76969
368,"Franklin County, Missouri",101508,101938,101412,101816,102084,102426,102838,103330,103670,103967,104682,105231,105879
369,"Greene County, Missouri",275414,277214,280626,283870,285865,288072,288690,289805,291923,293086,298915,300865,303293
370,"Jackson County, Missouri",675259,676360,677377,679996,683191,687623,691801,698895,700307,703011,717204,716862,716531
371,"Jasper County, Missouri",117770,118435,115258,116398,117543,118596,119111,120217,120636,121328,122761,123155,124075
372,"Jefferson County, Missouri",219084,219480,220209,221396,222716,224124,224226,223810,224347,225081,226739,227771,229336
373,"Platte County, Missouri",89677,90903,92054,93310,94788,96096,98309,101187,102985,104418,106718,108569,110534
374,"St. Charles County, Missouri",361602,365151,368666,373495,379493,385590,390918,395504,399182,402022,405262,409981,413803
375,"St. Francois County, Missouri",65498,65578,65917,66215,65960,66520,66627,66705,66692,67215,66922,67541,66969
376,"St. Louis County, Missouri",998881,998692,1000438,1001444,1001876,1003362,998581,996726,996945,994205,1004125,997187,990414
377,"St. Louis city, Missouri",319156,318069,318172,318416,317419,315685,311404,308626,302838,300576,301578,293310,286578
378,"Cascade County, Montana",81519,81837,81723,82384,82344,82278,81755,81654,81643,81366,84414,84511,84864
379,"Flathead County, Montana",90901,91301,91633,93068,94924,96165,98082,100000,102106,103806,104357,108454,111814
380,"Gallatin County, Montana",89658,91377,92614,94720,97308,100739,104502,107810,111876,114434,118960,122713,124857
381,"Missoula County, Montana",109494,110138,110977,111807,112684,114181,116130,117441,118791,119600,117922,119533,121041
382,"Yellowstone County, Montana",148432,150069,151882,154162,155634,157048,158437,158980,160137,161300,164731,167146,169852
383,"Douglas County, Nebraska",518777,524861,531265,537256,543244,550064,554995,561620,566880,571327,584526,585008,586327
384,"Lancaster County, Nebraska",286141,289800,293407,297036,301795,306468,309637,314358,317272,319090,322608,324514,324756
385,"Sarpy County, Nebraska",159709,162561,165853,169331,172193,175692,179023,181439,184459,187196,190604,193418,196553
386,"Clark County, Nevada",1954260,1969975,2000759,2027868,2069681,2114801,2155664,2204079,2231647,2266715,2265461,2292476,2322985
387,"Washoe County, Nevada",422528,425710,429908,433731,440078,446903,453616,460587,465735,471519,486492,493392,496745
388,"Cheshire County, New Hampshire",77049,76918,76851,76610,76115,75909,75774,75960,76493,76085,76458,77329,77350
389,"Grafton County, New Hampshire",89108,88923,89181,89629,89658,89320,88888,89386,89786,89886,91118,92201,91126
390,"Hillsborough County, New Hampshire",401057,401696,402922,403985,405184,406678,407761,409697,415247,417025,422937,424079,426594
391,"Merrimack County, New Hampshire",146400,146579,146761,146849,147171,147994,148582,149216,151132,151391,153808,155238,156020
392,"Rockingham County, New Hampshire",295360,296207,297820,299134,300621,301777,303251,306363,309176,309769,314176,316947,319424
393,"Strafford County, New Hampshire",123198,123857,124119,124593,125604,126825,127428,128613,130090,130633,130889,132416,132275
394,"Atlantic County, New Jersey",274685,274338,275422,275862,275209,274219,270991,269918,265429,263670,274534,274966,275638
395,"Bergen County, New Jersey",906541,911004,918888,925328,933572,938506,939151,948406,936692,932202,955732,953819,952997
396,"Burlington County, New Jersey",449149,449576,451336,450838,449722,450226,449284,448596,445384,445349,461860,464269,466103
397,"Camden County, New Jersey",513607,513241,513539,512854,511038,510923,510150,510719,507078,506471,523485,523771,524907
